district_name,province,latitude,longitude,elevation_m,avg_annual_rainfall_mm,river_proximity_km,population_density,avg_summer_temp_celsius,historical_flood_events,historical_earthquake_events,historical_disasters,soil_type,vegetation_index_ndvi,infrastructure_quality_score,flood_risk,heatwave_risk,seismic_risk,overall_risk_score
Jhang Rural-2,Punjab,31.3578,70.8195,93.0,422.2,32.72,455.4,30.3,5,1,6,clay,0.778,8.5,1,0,0,2.9
Dera Ghazi Khan Rural-2,Punjab,32.0863,72.1302,435.4,324.7,9.74,345.2,28.0,6,3,9,clay,0.176,4.2,0,0,1,3.3
Gujrat Rural-2,Punjab,31.1081,70.79,81.4,409.7,2.75,711.5,35.4,6,2,8,clay,0.635,7.7,1,0,1,7.0
Kasur Rural-2,Punjab,31.4626,71.8897,280.6,493.6,48.82,274.2,33.7,2,0,2,sandy,0.267,5.8,0,1,1,6.6
Sahiwal Rural-2,Punjab,32.0101,74.0126,71.6,481.8,30.25,465.1,36.0,6,1,7,alluvial,0.468,6.6,1,0,1,6.5
Okara Rural-2,Punjab,28.6686,69.3908,291.8,254.8,34.6,809.2,36.7,2,0,2,clay,0.406,6.8,0,0,0,1.0
Muzaffargarh Rural-2,Punjab,30.4885,73.282,226.2,466.3,0.2,1104.4,34.9,6,1,7,sandy,0.278,7.8,1,1,0,6.5
Vehari Rural-2,Punjab,30.2474,72.9279,161.2,491.1,43.55,913.1,35.2,2,1,3,rocky,0.273,6.1,0,1,0,3.6
Chiniot Rural-2,Punjab,29.9778,71.4305,175.1,903.1,34.09,3.0,35.4,7,0,7,clay,0.5,7.0,2,0,0,6.7
Hafizabad Rural-2,Punjab,30.5598,69.8971,101.4,787.8,2.79,806.5,34.2,9,0,9,clay,0.629,6.6,2,0,0,6.5
Nankana Sahib Rural-2,Punjab,33.3919,72.6298,233.5,296.4,15.57,725.2,31.1,5,0,5,alluvial,0.427,7.1,1,1,0,6.7
Toba Tek Singh Rural-2,Punjab,29.6147,71.5469,125.4,398.3,30.27,844.9,34.8,3,0,3,alluvial,0.463,4.5,0,1,0,3.4
Layyah Rural-2,Punjab,32.5492,72.9188,32.9,186.6,26.05,1265.7,35.4,6,0,6,alluvial,0.553,9.9,1,0,0,3.6
Khanewal Rural-2,Punjab,28.3074,72.5393,26.6,343.7,19.16,3.0,37.9,3,0,3,sandy,0.275,5.3,0,2,0,6.4
Mianwali Rural-2,Punjab,30.4642,75.3832,200.7,506.8,22.93,493.1,32.5,4,0,4,alluvial,0.583,7.3,0,0,0,1.0
Bhakkar Rural-2,Punjab,31.2604,72.0692,369.5,667.1,19.96,906.8,34.4,6,0,6,sandy,0.597,3.1,1,1,1,10.0
Jhelum Rural-2,Punjab,31.938,70.6577,199.2,318.8,28.05,146.4,33.0,4,0,4,alluvial,0.919,4.5,0,0,1,3.6
Karachi,Sindh,26.3237,68.9418,47.2,131.1,0.2,566.0,36.2,4,0,4,rocky,0.382,8.2,1,0,0,3.0
Hyderabad,Sindh,27.7443,68.0161,68.3,397.8,6.2,731.0,39.7,12,0,12,sandy,0.368,6.5,1,1,0,6.9
Sukkur,Sindh,23.6,68.793,87.9,219.1,0.2,150.2,41.4,3,0,3,alluvial,0.588,2.6,0,2,0,6.7
Larkana,Sindh,24.5553,68.8429,44.7,129.6,5.61,694.9,39.0,9,0,9,alluvial,0.597,7.9,0,2,0,6.2
Nawabshah,Sindh,24.2767,70.281,107.9,221.9,21.71,3.0,33.3,5,0,5,alluvial,0.354,3.5,1,1,0,7.0
Mirpur Khas,Sindh,23.6,67.7858,8.6,39.5,15.31,1268.1,38.6,3,0,3,rocky,0.377,8.5,0,1,0,4.0
Jacobabad,Sindh,25.4826,66.0847,60.3,153.2,14.2,1224.0,35.3,5,2,7,alluvial,0.547,5.8,1,1,0,6.9
Shikarpur,Sindh,27.6242,69.9008,176.9,189.0,15.61,473.7,38.7,4,0,4,clay,0.301,6.4,0,1,0,3.7
Dadu,Sindh,26.0727,67.8028,70.0,172.3,21.05,781.7,33.0,5,0,5,clay,0.376,8.1,0,1,0,3.3
Thatta,Sindh,26.7967,69.9719,124.5,251.2,2.87,3.0,39.1,7,0,7,sandy,0.466,2.9,1,0,0,2.8
Badin,Sindh,28.1338,68.8751,64.1,211.0,28.6,21.8,35.4,0,0,0,clay,0.629,2.7,0,0,1,2.8
Tando Allahyar,Sindh,28.4915,68.1033,86.1,240.1,27.94,453.1,33.9,3,0,3,clay,0.341,5.6,0,0,1,3.5
Ghotki,Sindh,26.3963,68.8232,57.4,118.0,23.78,63.9,41.9,4,0,4,rocky,0.118,6.0,1,2,0,9.7
Khairpur,Sindh,28.5304,71.2265,52.3,260.8,26.35,957.2,38.6,2,0,2,alluvial,0.105,3.6,0,2,0,6.3
Sanghar,Sindh,26.6382,71.4155,24.9,326.6,22.45,1598.6,35.9,9,0,9,sandy,0.223,3.0,1,1,0,6.6
Umerkot,Sindh,25.2439,68.4041,79.4,92.7,48.53,11.7,40.3,2,0,2,alluvial,0.214,6.0,0,1,0,3.5
Tharparkar,Sindh,25.6084,68.5403,21.7,100.1,16.69,181.3,35.8,4,0,4,clay,0.422,4.9,0,1,0,2.9
Jamshoro,Sindh,24.2792,69.9144,90.0,300.2,13.39,717.7,37.8,6,1,7,rocky,0.236,5.3,1,1,0,6.5
Matiari,Sindh,25.1678,67.0315,108.8,162.8,6.7,1405.6,38.1,5,1,6,sandy,0.324,2.7,0,2,0,7.1
Kashmore,Sindh,25.963,68.7996,76.5,306.3,2.52,3.0,37.5,7,0,7,sandy,0.311,3.3,1,2,0,9.6
Kambar Shahdadkot,Sindh,27.7054,68.2612,47.1,140.2,0.2,724.5,39.2,5,0,5,alluvial,0.371,6.0,1,2,0,10.0
Sujawal,Sindh,29.0812,68.7709,80.4,311.0,4.67,1510.6,51.21465798739963,10,0,10,clay,0.688,7.7,2,2,0,10.0
Tando Muhammad Khan,Sindh,24.4267,67.0499,46.1,191.8,16.94,3.0,36.8,7,0,7,clay,0.569,3.1,0,0,1,3.6
Karachi Rural-2,Sindh,27.0892,65.9156,102.1,203.2,23.01,3.0,42.1,9,0,9,clay,0.453,7.5,0,1,0,3.6
Hyderabad Rural-2,Sindh,24.9392,65.1905,0.0,320.8,18.77,388.2,34.8,6,0,6,clay,0.367,4.8,0,1,0,3.5
Sukkur Rural-2,Sindh,27.212,66.6239,44.9,147.4,6.52,339.7,30.8,10,0,10,alluvial,0.372,4.8,0,0,0,1.0
Larkana Rural-2,Sindh,26.3034,67.612,0.0,95.3,31.5,1006.3,44.6,4,0,4,alluvial,0.509,8.8,0,1,0,3.0
Nawabshah Rural-2,Sindh,23.7536,67.8602,0.0,139.6,29.09,720.8,43.3,2,0,2,alluvial,0.555,6.4,0,2,0,6.9
Mirpur Khas Rural-2,Sindh,27.8924,71.2058,121.4,220.7,15.61,3.0,34.8,4,0,4,clay,0.287,3.5,0,1,0,3.0
Jacobabad Rural-2,Sindh,25.5925,69.959,100.3,39.1,8.21,857.7,31.6,7,0,7,alluvial,0.457,5.7,0,0,0,1.0
Shikarpur Rural-2,Sindh,25.6991,66.8569,27.6,237.4,26.23,311.2,37.1,3,0,3,rocky,0.084,8.4,0,1,0,3.4
Dadu Rural-2,Sindh,24.8954,68.8216,0.0,131.5,20.82,1237.2,37.8,6,0,6,sandy,0.488,8.6,1,1,0,6.7
Thatta Rural-2,Sindh,25.5186,67.6894,0.0,283.3,0.2,286.2,37.9,8,0,8,alluvial,0.587,4.5,1,1,0,6.7
Peshawar,Khyber Pakhtunkhwa,32.7526,69.9532,0.0,982.0,4.28,499.2,32.0,2,0,2,sandy,0.4,5.9,2,0,1,9.7
Mardan,Khyber Pakhtunkhwa,34.9534,70.0612,486.6,129.8,15.14,415.1,28.5,2,1,3,sandy,0.777,6.2,0,0,1,3.0
Abbottabad,Khyber Pakhtunkhwa,34.8819,72.5785,508.8,325.8,11.41,74.3,24.1,9,2,11,alluvial,0.291,2.7,1,0,2,10.0
Swat,Khyber Pakhtunkhwa,32.2573,71.3727,0.0,469.3,2.82,387.2,26.9,5,1,6,alluvial,0.489,5.9,1,0,1,6.8
Kohat,Khyber Pakhtunkhwa,35.109,68.9223,418.2,1065.3,39.59,380.1,29.8,5,0,5,alluvial,0.444,6.0,1,0,1,7.0
Dera Ismail Khan,Khyber Pakhtunkhwa,36.8685,72.9418,442.4,770.6,36.42,849.4,27.5,5,1,6,alluvial,0.432,8.1,1,0,1,6.7
Bannu,Khyber Pakhtunkhwa,34.4235,72.3268,799.4,891.8,28.63,623.6,25.1,6,1,7,sandy,0.429,8.2,2,0,1,9.6
Mansehra,Khyber Pakhtunkhwa,33.7615,71.1434,1456.5,415.0,3.95,402.9,29.7,6,2,8,rocky,0.469,5.4,0,0,2,7.1
Nowshera,Khyber Pakhtunkhwa,34.0154,70.4198,777.5,420.1,25.26,462.2,26.1,5,4,9,alluvial,0.603,5.6,0,0,2,6.7
Charsadda,Khyber Pakhtunkhwa,34.9998,73.003,384.6,812.0,22.68,411.1,25.5,9,1,10,sandy,0.698,7.2,2,0,1,10.0
Swabi,Khyber Pakhtunkhwa,31.9501,72.4192,871.5,714.6,20.31,349.3,30.7,7,2,9,alluvial,0.45,4.9,2,0,2,10.0
Haripur,Khyber Pakhtunkhwa,34.4137,74.8591,1424.6,837.2,30.0,129.4,23.9,2,1,3,clay,0.597,7.1,0,0,1,3.9
Chitral,Khyber Pakhtunkhwa,33.6924,72.5042,412.0,653.1,22.62,362.2,27.6,3,2,5,sandy,0.324,5.8,1,0,1,6.4
Buner,Khyber Pakhtunkhwa,36.6022,72.4652,444.7,769.5,23.88,213.5,27.9,4,2,6,clay,0.588,4.3,0,0,1,3.3
Shangla,Khyber Pakhtunkhwa,33.9736,71.7997,1179.3,739.5,22.64,87.4,23.1,6,1,7,alluvial,0.313,2.8,1,0,2,10.0
Tank,Khyber Pakhtunkhwa,36.3683,72.9801,789.2,894.4,19.09,527.8,35.69458686707655,6,1,7,clay,0.646,8.6,1,0,1,6.4
Lakki Marwat,Khyber Pakhtunkhwa,32.7651,72.7501,1223.7,901.8,0.2,497.8,32.2,11,2,13,rocky,0.848,5.7,2,0,2,10.0
Karak,Khyber Pakhtunkhwa,34.9634,73.5021,893.2,295.0,16.0,3.0,22.4,9,1,10,alluvial,0.428,7.5,0,0,1,3.9
Hangu,Khyber Pakhtunkhwa,34.6152,71.3744,1250.8,138.2,8.33,369.3,18.7,4,2,6,alluvial,0.055,5.1,0,0,2,6.7
Malakand,Khyber Pakhtunkhwa,33.0702,71.4775,382.5,950.4,0.2,648.9,23.0,6,0,6,alluvial,0.351,6.5,2,0,1,10.0
Battagram,Khyber Pakhtunkhwa,34.4306,71.4251,894.0,996.9,35.18,664.8,29.9,3,3,6,clay,0.672,10.0,1,0,1,5.9
Torghar,Khyber Pakhtunkhwa,35.7763,72.949,794.7,444.8,35.75,656.5,27.7,1,1,2,clay,0.55,4.1,0,0,2,6.8
Upper Dir,Khyber Pakhtunkhwa,33.7791,73.798,292.1,235.0,31.31,409.7,27.2,1,0,1,sandy,0.495,2.6,0,0,1,3.3
Lower Dir,Khyber Pakhtunkhwa,32.0004,71.4494,118.3,724.8,18.06,188.7,31.7,5,2,7,sandy,0.632,8.3,2,0,1,9.8
Peshawar Rural-2,Khyber Pakhtunkhwa,34.1772,71.4903,1242.9,932.7,31.21,129.1,15.4,2,1,3,rocky,0.537,4.5,0,0,2,7.1
Mardan Rural-2,Khyber Pakhtunkhwa,33.0268,72.3769,724.5,1149.4,15.14,486.2,29.5,4,1,5,sandy,0.669,6.0,2,0,1,9.9
Abbottabad Rural-2,Khyber Pakhtunkhwa,33.755,71.7051,388.9,829.1,17.43,494.8,33.2,7,1,8,alluvial,0.615,4.9,2,0,2,10.0
Swat Rural-2,Khyber Pakhtunkhwa,34.0939,73.1425,851.9,607.1,1.88,721.8,23.4,3,1,4,clay,0.724,6.5,1,0,2,10.0
Quetta,Balochistan,27.7404,66.2405,888.8,135.3,120.88,77.2,34.0,0,0,0,alluvial,0.395,2.8,0,0,1,2.8
Gwadar,Balochistan,26.9942,66.4349,990.2,308.8,49.06,3.0,36.1,6,0,6,alluvial,0.493,4.2,0,1,1,6.4
Turbat,Balochistan,26.7113,61.2387,1279.1,87.8,69.48,3.0,38.6,2,0,2,rocky,0.275,5.3,0,1,1,7.0
Khuzdar,Balochistan,27.8475,66.9665,455.6,356.0,46.87,80.3,32.4,0,0,0,sandy,0.222,2.7,0,1,1,6.1
Sibi,Balochistan,31.355,63.3396,431.2,127.5,57.65,81.5,32.3,1,0,1,rocky,0.637,3.2,0,0,0,1.0
Zhob,Balochistan,32.1748,62.3269,462.7,30.0,55.21,7.7,51.15206682405713,1,3,4,clay,0.369,3.9,0,2,1,9.9
Chaman,Balochistan,27.8281,65.3715,1015.6,157.0,70.69,28.0,35.2,2,0,2,clay,0.475,1.9,0,0,1,3.9
Loralai,Balochistan,32.3101,65.6848,1398.0,42.4,95.79,121.7,29.5,1,1,2,clay,0.352,5.2,0,1,1,6.9
Dera Bugti,Balochistan,28.5712,63.9743,727.5,74.8,112.66,38.2,38.4,2,0,2,alluvial,0.224,4.7,0,1,0,3.1
Kalat,Balochistan,32.0074,67.3283,0.0,189.7,65.84,160.9,37.8,5,0,5,alluvial,0.332,5.3,0,1,0,3.7
Nushki,Balochistan,28.3134,62.5472,218.4,205.6,75.63,59.9,28.5,2,0,2,clay,0.588,4.0,0,0,0,1.0
Panjgur,Balochistan,28.7621,64.6047,566.8,87.8,14.72,78.4,36.6,4,0,4,alluvial,0.43,4.5,0,1,0,3.6
Mastung,Balochistan,29.2309,64.2133,676.9,248.7,51.92,132.8,39.3,4,0,4,rocky,0.022,4.8,0,2,1,9.6
Kharan,Balochistan,34.8577,65.3975,736.6,265.8,87.91,65.9,38.1,1,0,1,alluvial,0.291,5.7,0,2,1,10.0
Lasbela,Balochistan,30.2026,66.1135,915.4,293.6,85.31,14.9,38.4,0,0,0,alluvial,0.651,7.1,0,0,0,1.0
Pishin,Balochistan,27.0855,63.2826,775.3,202.9,62.41,55.1,31.9,1,0,1,sandy,0.292,3.7,0,1,1,6.4
Killa Saifullah,Balochistan,30.438,67.0934,1319.7,286.3,86.02,58.4,38.3,0,0,0,alluvial,0.02,5.4,0,2,0,6.5
Jaffarabad,Balochistan,27.7763,65.6386,629.6,30.0,72.18,3.0,34.5,2,0,2,rocky,0.671,4.1,0,1,1,6.8
Naseerabad,Balochistan,27.5205,61.3377,555.1,118.2,97.01,48.5,34.8,1,0,1,sandy,0.453,5.2,0,0,0,1.0
Barkhan,Balochistan,30.3172,61.1911,1091.6,63.3,65.13,26.6,41.4,2,1,3,alluvial,0.317,7.3,0,2,1,10.0
Musakhel,Balochistan,28.5622,65.4729,285.7,161.9,42.55,101.6,43.9,4,0,4,sandy,0.263,6.9,0,2,0,6.4
Quetta Rural-2,Balochistan,29.0572,65.0139,1055.9,92.9,66.75,61.6,41.9,0,1,1,sandy,0.525,1.3,0,1,1,6.9
Gwadar Rural-2,Balochistan,28.528,65.2725,941.0,133.4,0.2,47.3,40.3,5,2,7,sandy,0.232,5.3,0,1,1,6.8
Gilgit,Gilgit-Baltistan,35.6232,75.5668,4009.2,242.9,6.68,30.1,22.8,8,4,12,sandy,0.657,6.7,0,0,2,6.8
Skardu,Gilgit-Baltistan,35.9469,74.9212,5118.0,162.5,15.07,36.8,15.1,4,3,7,sandy,0.548,4.1,0,0,2,6.7
Muzaffarabad,Azad Jammu & Kashmir,34.7537,72.8069,1097.9,1484.8,7.97,447.0,25.9,4,4,8,clay,0.494,7.8,2,0,2,10.0
Mirpur,Azad Jammu & Kashmir,34.5273,73.173,1671.8,667.6,14.27,244.4,26.2,2,2,4,alluvial,0.476,4.8,1,0,2,10.0
Kotli,Azad Jammu & Kashmir,33.5591,73.1874,1503.9,1190.7,15.13,349.7,20.6,3,1,4,sandy,0.419,3.3,2,0,2,10.0
Bagh,Azad Jammu & Kashmir,35.1654,73.8313,1489.6,645.9,9.22,547.2,27.8,6,3,9,rocky,0.638,6.3,2,0,2,10.0
Rawalakot,Azad Jammu & Kashmir,33.9996,73.6357,1545.9,1310.8,5.0,238.4,26.1,3,2,5,clay,0.294,2.8,2,0,2,10.0
Islamabad,Islamabad Capital Territory,33.7051,73.057,550.9,1007.5,11.39,3044.5,32.3,3,0,3,sandy,0.158,5.6,2,0,0,7.5
Islamabad Rural-2,Islamabad Capital Territory,33.6619,73.0731,520.9,940.3,12.33,2662.3,29.6,7,2,9,clay,0.561,8.3,2,0,0,6.8
